"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Context-Dependent Anomaly Detection for Low Altitude Traffic Surveillance","I. Bozcan; E. Kayacan","Department of Electrical and Computer Engineering, Artificial Intelligence in Robotics Laboratory (Air Lab), Aarhus University, Aarhus C, Denmark; Department of Electrical and Computer Engineering, Artificial Intelligence in Robotics Laboratory (Air Lab), Aarhus University, Aarhus C, Denmark",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","224","230","The detection of contextual anomalies is a challenging task for surveillance since an observation can be considered anomalous or normal in a specific environmental context. An unmanned aerial vehicle (UAV) can utilize its aerial monitoring capability and employ multiple sensors to gather contextual information about the environment and perform contextual anomaly detection. In this work, we introduce a deep neural network-based method (CADNet) to find point anomalies (i.e., single instance anomalous data) and contextual anomalies (i.e., context-specific abnormality) in an environment using a UAV. The method is based on a variational autoencoder (VAE) with a context sub-network. The context sub-network extracts contextual information regarding the environment using GPS and time data, then feeds it to the VAE to predict anomalies conditioned on the context. To the best of our knowledge, our method is the first contextual anomaly detection method for UAV-assisted aerial surveillance. We evaluate our method on the AU-AIR dataset in a traffic surveillance scenario. Quantitative comparisons against several baselines demonstrate the superiority of our approach in the anomaly detection tasks. The codes and data will be available at https://bozcani.github.io/cadnet.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9562043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9562043","","Surveillance;Traffic control;Unmanned aerial vehicles;Real-time systems;Sensors;Feeds;Task analysis","","18","","25","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Towards an Online RRT-based Path Planning Algorithm for Ackermann-steering Vehicles","J. Peng; Y. Chen; Y. Duan; Y. Zhang; J. Ji; Y. Zhang","School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, China",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","7407","7413","It is challenging to develop an online path planning algorithm for Ackermann-steering vehicles to find collision-free and kinematically-feasible paths, that is efficient for dense environments, adaptable to various environments, and suitable for environments with narrow passages. In this paper, we propose a kinematically constrained RRT-based path planning algorithm integrating with a trajectory parameter space (TP-space) with three novel improvements to meet the above requirements. In specific, we introduce a new way to choose candidate nodes to expand the tree for an RRT-based algorithm, which can significantly increase the success rate of the expansion and improve the efficiency of the algorithm. We also introduce a procedure to incrementally adjust the step size for the expansion, which enables the algorithm to automatically adapt to various environments. At last, we integrate rapidly-exploring random vines (RRV) with a TP-space to handle kinematic constraints and improve the performance of the algorithm to expand the tree through a narrow passage. We also prove that the algorithm is probabilistic complete and asymptotically near-optimal. An ablation study shows that all three improvements can notably improve the performance of the RRT-based path planning algorithm. We also evaluate the algorithm in various environments. The experimental results show that our algorithm achieves competitive performance compared with the state-of-the-art. The source code is available at https://github.com/PengJieb/fastbkrrt.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561207","Anhui Provincial Development and Reform Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561207","","Codes;Automation;Conferences;Kinematics;Bidirectional control;Probabilistic logic;Trajectory","","4","","15","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Reachable Polyhedral Marching (RPM): A Safety Verification Algorithm for Robotic Systems with Deep Neural Network Components","J. A. Vincent; M. Schwager","Department of Aeronautics and Astronautics, Stanford University, Stanford, CA, USA; Department of Aeronautics and Astronautics, Stanford University, Stanford, CA, USA",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","9029","9035","We present a method for computing exact reachable sets for deep neural networks with rectified linear unit (ReLU) activation. Our method is well-suited for use in rigorous safety analysis of robotic perception and control systems with deep neural network components. Our algorithm can compute both forward and backward reachable sets for a ReLU network iterated over multiple time steps, as would be found in a perception-action loop in a robotic system. Our algorithm is unique in that it builds the reachable sets by incrementally enumerating polyhedral cells in the input space, rather than iterating layer-by-layer through the network as in other methods. If an unsafe cell is found, our algorithm can return this result without completing the full reachability computation, thus giving an anytime property that accelerates safety verification. In addition, our method requires less memory during execution compared to existing methods where memory can be a limiting factor. We demonstrate our algorithm on safety verification of the ACAS Xu aircraft advisory system. We find unsafe actions many times faster than the fastest existing method and certify no unsafe actions exist in about twice the time of the existing method. We also compute forward and backward reachable sets for a learned model of pendulum dynamics over a 50 time step horizon in 87s on a laptop computer. Algorithm source code: https://github.com/StanfordMSL/Neural-Network-Reach.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561956","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561956","","Deep learning;Portable computers;Limiting;Costs;Heuristic algorithms;Conferences;Memory management","","24","","42","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Automated Extrinsic Calibration for 3D LiDARs with Range Offset Correction using an Arbitrary Planar Board","J. Kim; C. Kim; Y. Han; H. J. Kim","Department of Mechanical and Aerospace Engineering, Seoul National University and Automation and Systems Research Institute (ASRI), Seoul, South Korea; Department of Mechanical and Aerospace Engineering, Seoul National University and Automation and Systems Research Institute (ASRI), Seoul, South Korea; Department of Mechanical and Aerospace Engineering, Seoul National University and Automation and Systems Research Institute (ASRI), Seoul, South Korea; Department of Mechanical and Aerospace Engineering, Seoul National University and Automation and Systems Research Institute (ASRI), Seoul, South Korea",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","5082","5088","This paper proposes an automatic and accuracy- enhanced extrinsic calibration method for 3D LiDARs with a range offset correction, which needs only an arbitrarily-shaped single planar board. One of the most exhaustive parts of existing LiDAR calibration procedures is to manually find target objects from massive point clouds. To obviate user interventions, we propose an automated planar board detection from LiDAR range images. To extract a target completely, we suppress outliers and restore rejected inliers of the target board by introducing a target completion method. We empirically find that range measurements of various LiDARs are mainly skewed by constant offset values. To compensate for this, we suggest a range offset model for each laser channel in calibration procedures. The relative pose between LiDARs and range offsets are jointly estimated by minimizing bi-directional point- to-board distances within the iterative re-weighted least squares (IRLS) framework. To verify the suggested range offset model, we obtain and analyze extensive real-world measurements. By conducting experiments using the various sensor configurations and shapes of boards, we quantitatively and qualitatively confirm accuracy and versatility of the proposed method by comparing with the state-of-the-art LiDAR calibration methods. All the source code and data used in the paper are available at : https://github.com/JunhaAgu/AutoL2LCalib.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561175","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561175","","Solid modeling;Laser radar;Three-dimensional displays;Shape;Conferences;Measurement by laser beam;Robot sensing systems","","7","","30","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"ZePHyR: Zero-shot Pose Hypothesis Rating","B. Okorn; Q. Gu; M. Hebert; D. Held","Robotics Institute, Carnegie Mellon University, Pittsburgh, PA; Robotics Institute, Carnegie Mellon University, Pittsburgh, PA; Robotics Institute, Carnegie Mellon University, Pittsburgh, PA; Robotics Institute, Carnegie Mellon University, Pittsburgh, PA",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","14141","14148","Pose estimation is a basic module in many robot manipulation pipelines. Estimating the pose of objects in the environment can be useful for grasping, motion planning, or manipulation. However, current state-of-the-art methods for pose estimation either rely on large annotated training sets or simulated data. Further, the long training times for these methods prohibit quick interaction with novel objects. To address these issues, we introduce a novel method for zero-shot object pose estimation in clutter. Our approach uses a hypothesis generation and scoring framework, with a focus on learning a scoring function that generalizes to objects not used for training. We achieve zero-shot generalization by rating hypotheses as a function of unordered point differences. We evaluate our method on challenging datasets with both textured and untextured objects in cluttered scenes and demonstrate that our method significantly outperforms previous methods on this task. We also demonstrate how our system can be used by quickly scanning and building a model of a novel object, which can immediately be used by our method for pose estimation. Our work allows users to estimate the pose of novel objects without requiring any retraining. Additional information can be found on our website https://bokorn.github.io/zephyr/","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9560874","United States Air Force; National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9560874","","Training;Conferences;Pose estimation;Pipelines;Focusing;Grasping;Planning","","12","","53","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"YOLOStereo3D: A Step Back to 2D for Efficient Stereo 3D Detection","Y. Liu; L. Wang; M. Liu","Department of Electronic and Computer Engineering, Robotics and Multi-Perception Laborotary, The Hong Kong University of Science and Technology; Cloud Computing Lab of Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, China; Department of Electronic and Computer Engineering, Robotics and Multi-Perception Laborotary, The Hong Kong University of Science and Technology",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","13018","13024","Object detection in 3D with stereo cameras is an important problem in computer vision, and is particularly crucial in low-cost autonomous mobile robots without LiDARs. Nowadays, most of the best-performing frameworks for stereo 3D object detection are based on dense depth reconstruction from disparity estimation, making them extremely computationally expensive. To enable real-world deployments of vision detection with binocular images, we take a step back to gain insights from 2D image-based detection frameworks and enhance them with stereo features. We incorporate knowledge and the inference structure from real-time one-stage 2D/3D object detector and introduce a light-weight stereo matching module. Our proposed framework, YOLOStereo3D, is trained on one single GPU and runs at more than ten fps. It demonstrates performance comparable to state-of-the-art stereo 3D detection frameworks without usage of LiDAR data. The code will be published in https://github.com/Owen-Liuyuxuan/visualDet3D.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561423","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561423","","Training;Three-dimensional displays;Laser radar;Computational modeling;Robot vision systems;Graphics processing units;Object detection","","42","","34","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Sparsity-Inducing Optimal Control via Differential Dynamic Programming","T. Dinev; W. Merkt; V. Ivan; I. Havoutis; S. Vijayakumar","Oxford Robotics Institute, University of Oxford, UK; Oxford Robotics Institute, University of Oxford, UK; Oxford Robotics Institute, University of Oxford, UK; Oxford Robotics Institute, University of Oxford, UK; Oxford Robotics Institute, University of Oxford, UK",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","8216","8222","Optimal control is a popular approach to synthesize highly dynamic motion. Commonly, L2 regularization is used on the control inputs in order to minimize energy used and to ensure smoothness of the control inputs. However, for some systems, such as satellites, the control needs to be applied in sparse bursts due to how the propulsion system operates. In this paper, we study approaches to induce sparsity in optimal control solutions—namely via smooth L1 and Huber regularization penalties. We apply these loss terms to state-of-the-art Differential Dynamic Programming (DDP)-based solvers to create a family of sparsity-inducing optimal control methods. We analyze and compare the effect of the different losses on inducing sparsity, their numerical conditioning, their impact on convergence, and discuss hyperparameter settings. We demonstrate our method in simulation and hardware experiments on canonical dynamics systems, control of satellites, and the NASA Valkyrie humanoid robot. We provide an implementation of our method and all examples for reproducibility on GitHub.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9560961","European Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9560961","","Satellites;NASA;Optimal control;Humanoid robots;Propulsion;Reproducibility of results;Hardware","","2","","19","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Learning to Rearrange Deformable Cables, Fabrics, and Bags with Goal-Conditioned Transporter Networks","D. Seita; P. Florence; J. Tompson; E. Coumans; V. Sindhwani; K. Goldberg; A. Zeng","Autolab at the University of California, Berkeley, USA; Google Research, USA; Google Research, USA; Google Research, USA; Google Research, USA; Autolab at the University of California, Berkeley, USA; Google Research, USA",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","4568","4575","Rearranging and manipulating deformable objects such as cables, fabrics, and bags is a long-standing challenge in robotic manipulation. The complex dynamics and high-dimensional configuration spaces of deformables, compared to rigid objects, make manipulation difficult not only for multi-step planning, but even for goal specification. Goals cannot be as easily specified as rigid object poses, and may involve complex relative spatial relations such as ""place the item inside the bag"". In this work, we develop a suite of simulated benchmarks with 1D, 2D, and 3D deformable structures, including tasks that involve image-based goal-conditioning and multi-step deformable manipulation. We propose embedding goal-conditioning into Transporter Networks, a recently proposed model architecture for learning robotic manipulation that rearranges deep features to infer displacements that can represent pick and place actions. We demonstrate that goal-conditioned Transporter Networks enable agents to manipulate deformable structures into flexibly specified configurations without test-time visual anchors for target locations. We also significantly extend prior results using Transporter Networks for manipulating deformable objects by testing on tasks with 2D and 3D deformables. Supplementary material is available at https://berkeleyautomation.github.io/bags/.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561391","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561391","","Visualization;Three-dimensional displays;Automation;Conferences;Benchmark testing;Fabrics;Planning","","79","","71","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Congestion-aware Multi-agent Trajectory Prediction for Collision Avoidance","X. Xie; C. Zhang; Y. Zhu; Y. N. Wu; S. -C. Zhu","Statistics Department, UCLA Center for Vision, Cognition, Learning, and Autonomy (VCLA); Statistics Department, UCLA Center for Vision, Cognition, Learning, and Autonomy (VCLA); Statistics Department, UCLA Center for Vision, Cognition, Learning, and Autonomy (VCLA); Statistics Department, UCLA Center for Vision, Cognition, Learning, and Autonomy (VCLA); Statistics Department, UCLA Center for Vision, Cognition, Learning, and Autonomy (VCLA)",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","13693","13700","Predicting agents’ future trajectories plays a crucial role in modern AI systems, yet it is challenging due to intricate interactions exhibited in multi-agent systems, especially when it comes to collision avoidance. To address this challenge, we propose to learn congestion patterns as contextual cues explicitly and devise a novel ""Sense–Learn–Reason–Predict"" framework by exploiting advantages of three different doctrines of thought, which yields the following desirable benefits: (i) Representing congestion as contextual cues via latent factors subsumes the concept of social force commonly used in physics- based approaches and implicitly encodes the distance as a cost, similar to the way a planning-based method models the environment. (ii) By decomposing the learning phases into two stages, a ""student"" can learn contextual cues from a ""teacher"" while generating collision-free trajectories. To make the framework computationally tractable, we formulate it as an optimization problem and derive an upper bound by leveraging the variational parametrization. In experiments, we demonstrate that the proposed model is able to generate collision- free trajectory predictions in a synthetic dataset designed for collision avoidance evaluation and remains competitive on the commonly used NGSIM US-101 highway dataset. Source code and dataset tools can be accessed via Github.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9560994","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9560994","","Road transportation;Upper bound;Computational modeling;Predictive models;Tools;Trajectory;Collision avoidance","","13","","90","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Development of a Perception System for an Autonomous Surface Vehicle using Monocular Camera, LIDAR, and Marine RADAR","T. Clunie; M. DeFilippo; M. Sacarny; P. Robinette","University of Massachusetts at Lowell, Lowell, MA, USA; Autonomous Underwater Vehicles Laboratory, MIT Sea Grant, Cambridge, MA, USA; Autonomous Underwater Vehicles Laboratory, MIT Sea Grant, Cambridge, MA, USA; University of Massachusetts at Lowell, Lowell, MA, USA",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","14112","14119","This paper describes a set of software modules and algorithms for maritime object detection and tracking. The approach described here is designed to work in conjunction with various sensors from a maritime surface vessel (e.g. marine RADAR, LIDAR, camera). The described system identifies obstacles from the input sensors, estimates their state, and fuses the obstacle data into a consolidated report. The system is verified using experiments conducted on a live system and successfully demonstrates the ability to detect and track obstacles up to 450m away while operating at 7 fps. The software is open source and available at https://github.com/uml-marine-robotics/asv_perception.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561275","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561275","Autonomous systems;marine robotics;intelligent robots;mobile agents unmanned autonomous vehicles;autonomous surface vehicles;marine RADAR;LIDAR;segmentation;classification;object detection;calibration;sensor fusion","Laser radar;Software algorithms;Object detection;Sensor fusion;Cameras;Robot sensing systems;Radar tracking","","19","","53","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"CloudAAE: Learning 6D Object Pose Regression with On-line Data Synthesis on Point Clouds","G. Gao; M. Lauri; X. Hu; J. Zhang; S. Frintrop","Department of Informatics, University of Hamburg, Germany; Department of Informatics, University of Hamburg, Germany; Department of Computer Science and Technology, State Key Laboratory of Intelligent Technology and Systems, Tsinghua University, China; Department of Informatics, University of Hamburg, Germany; Department of Informatics, University of Hamburg, Germany",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","11081","11087","It is often desired to train 6D pose estimation systems on synthetic data because manual annotation is expensive. However, due to the large domain gap between the synthetic and real images, synthesizing color images is expensive. In contrast, this domain gap is considerably smaller and easier to fill for depth information. In this work, we present a system that regresses 6D object pose from depth information represented by point clouds, and a lightweight data synthesis pipeline that creates synthetic point cloud segments for training. We use an augmented autoencoder (AAE) for learning a latent code that encodes 6D object pose information for pose regression. The data synthesis pipeline only requires texture-less 3D object models and desired viewpoints, and it is cheap in terms of both time and hardware storage. Our data synthesis process is up to three orders of magnitude faster than commonly applied approaches that render RGB image data. We show the effectiveness of our system on the LineMOD, LineMOD Occlusion, and YCB Video datasets. The implementation of our system is available at: https://github.com/GeeeG/CloudAAE.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561475","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561475","","Training;Solid modeling;Image segmentation;Three-dimensional displays;Pipelines;Pose estimation;Manuals","","33","","36","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Uncertainty-Aware Fast Curb Detection Using Convolutional Networks in Point Clouds","Y. Jung; M. Jeon; C. Kim; S. -W. Seo; S. -W. Kim","Seoul National University, South Korea; Seoul National University, South Korea; Seoul National University, South Korea; Seoul National University, South Korea; Seoul National University, South Korea",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","12882","12888","Curb detection is an essential function of autonomous vehicles in urban areas. However, curbs are difficult to detect in complex urban environments in which many dynamic objects exist. Additionally, curbs appear in a variety of shapes and sizes. Previous studies have been based on the traditional pipeline, which consists of the extraction and aggregation of hand-crafted features that are then fed to classifiers. However, this sequential process is inefficient and designing the hand-crafted features is a complex process. Recently, this kind of process has been replaced by Deep Neural Networks (DNN), in which classifiers and features are learned from large-scale data. Very few works have exploited DNN for the curb detection problem. Most works use multi-modal sensor-based methods that combine images and accumulated 3D point clouds from LIDAR. However, these approaches require synchronization and calibration between sensors. In addition, they do not quantify the uncertainty of their predictions for autonomous system safety. In this paper, we present a two-stage DNN-based curb detection method that includes uncertainty quantification. An autoencoder-based network predicts the curbs, and then conditional neural processes rectify the predictions with uncertainty estimations. The experimental results show that our approach achieves high accuracy and recall in complex areas. We also constructed a large-scale dataset to create benchmarks consisting of approximately 5,224 scans with bird’s-eye view labels collected from urban areas. To the best of our knowledge, there are no public datasets for DNN-based curb detectors. The benchmarks and datasets are publicly available at https://github.com/YounghwaJung/curb_detection_DNN.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561358","National Research Foundation of Korea; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561358","","Deep learning;Uncertainty;Three-dimensional displays;Urban areas;Benchmark testing;Feature extraction;Safety","","10","","38","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"TSDF++: A Multi-Object Formulation for Dynamic Object Tracking and Reconstruction","M. Grinvald; F. Tombari; R. Siegwart; J. Nieto","Autonomous Systems Lab, ETH Zurich, Zurich, Switzerland; Technical University of Munich, Germany; Autonomous Systems Lab, ETH Zurich, Zurich, Switzerland; Autonomous Systems Lab, ETH Zurich, Zurich, Switzerland",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","14192","14198","The ability to simultaneously track and reconstruct multiple objects moving in the scene is of the utmost importance for robotic tasks such as autonomous navigation and interaction. Virtually all of the previous attempts to map multiple dynamic objects have evolved to store individual objects in separate reconstruction volumes and track the relative pose between them. While simple and intuitive, such formulation does not scale well with respect to the number of objects in the scene and introduces the need for an explicit occlusion handling strategy. In contrast, we propose a map representation that allows maintaining a single volume for the entire scene and all the objects therein. To this end, we introduce a novel multi-object TSDF formulation that can encode multiple object surfaces at any given location in the map. In a multiple dynamic object tracking and reconstruction scenario, our representation allows maintaining accurate reconstruction of surfaces even while they become temporarily occluded by other objects moving in their proximity. We evaluate the proposed TSDF++ formulation on a public synthetic dataset and demonstrate its ability to preserve reconstructions of occluded surfaces when compared to the standard TSDF map representation. Code is available at https://github.com/ethz-asl/tsdf-plusplus.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9560923","Google; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9560923","","Surface reconstruction;Solid modeling;Three-dimensional displays;Shape;Pipelines;Cameras;Robustness","","16","","25","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"AU-Expression Knowledge Constrained Representation Learning for Facial Expression Recognition","T. Pu; T. Chen; Y. Xie; H. Wu; L. Lin","School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China; DarkMatter AI Research, Guangzhou, China; DarkMatter AI Research, Guangzhou, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","11154","11161","Recognizing human emotion/expressions automatically is quite an expected ability for intelligent robotics, as it can promote better communication and cooperation with humans. Current deep-learning-based algorithms may achieve impressive performance in some lab-controlled environments, but they always fail to recognize the expressions accurately for the uncontrolled in-the-wild situation. Fortunately, facial action units (AU) describe subtle facial behaviors, and they can help distinguish uncertain and ambiguous expressions. In this work, we explore the correlations among the action units and facial expressions, and devise an AU-Expression Knowledge Constrained Representation Learning (AUE-CRL) framework to learn the AU representations without AU annotations and adaptively use representations to facilitate facial expression recognition. Specifically, it leverages AU-expression correlations to guide the learning of the AU classifiers, and thus it can obtain AU representations without incurring any AU annotations. Then, it introduces a knowledge-guided attention mechanism that mines useful AU representations under the constraint of AU-expression correlations. In this way, the framework can capture local discriminative and complementary features to enhance facial representation for facial expression recognition. We conduct experiments on the challenging uncontrolled datasets to demonstrate the superiority of the proposed framework over current state-of-the-art methods. Codes and trained models are available at https://github.com/HCPLab-SYSU/AUE-CRL.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561252","National Natural Science Foundation of China; Natural Science Foundation of Guangdong Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561252","","Gold;Emotion recognition;Correlation;Codes;Automation;Annotations;Face recognition","","15","","49","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Fast Few-Shot Classification by Few-Iteration Meta-Learning","A. S. Tripathi; M. Danelljan; L. Van Gool; R. Timofte","Department of Electrical Engineering, Computer Vision Lab, ETH Zurich, Switzerland; Department of Electrical Engineering, Computer Vision Lab, ETH Zurich, Switzerland; Department of Electrical Engineering, Computer Vision Lab, ETH Zurich, Switzerland; Department of Electrical Engineering, Computer Vision Lab, ETH Zurich, Switzerland",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","9522","9528","Autonomous agents interacting with the real world need to learn new concepts efficiently and reliably. This requires learning in a low-data regime, which is a highly challenging problem. We address this task by introducing a fast optimization-based meta-learning method for few-shot classification. It consists of an embedding network, providing a general representation of the image, and a base learner module. The latter learns a linear classifier during the inference through an unrolled optimization procedure. We design an inner learning objective composed of (i) a robust classification loss on the support set and (ii) an entropy loss, allowing transductive learning from unlabeled query samples. By employing an efficient initialization module and a Steepest Descent based optimization algorithm, our base learner predicts a powerful classifier within only a few iterations. Further, our strategy enables important aspects of the base learner objective to be learned during meta-training. To the best of our knowledge, this work is the first to integrate both induction and transduction into the base learner in an optimization-based meta-learning framework. We perform a comprehensive experimental analysis, demonstrating the speed and effectiveness of our approach on four few-shot classification datasets. The Code is available at https://github.com/4rdhendu/FIML.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561269","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561269","","Codes;Conferences;Prediction algorithms;Inference algorithms;Entropy;Reliability;Iterative methods","","5","","28","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Learning Seed Placements and Automation Policies for Polyculture Farming with Companion Plants","Y. Avigal; A. Deza; W. Wong; S. Oehme; M. Presten; M. Theis; J. Chui; P. Shao; H. Huang; A. Kotani; S. Sharma; R. Parikh; M. Luo; S. Mukherjee; S. Carpin; J. H. Viers; S. Vougioukas; K. Goldberg","The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; Department of Electrical and Computer Engineering, TU Munich; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; School of Engineering, UC Merced; Environmental Systems, School of Engineering, UC Merced; Biological and Agricultural Engineering, UC Davis; The AUTOLab, UC Berkeley",2021 IEEE International Conference on Robotics and Automation (ICRA),"18 Oct 2021","2021","","","902","908","Polyculture farming is a sustainable farming technique based on synergistic interactions between differing plant types that make them more resistant to diseases and pests and better able to retain water. Reduced uniformity can reduce use of pesticides, fertilizer, and water, but is more labor intensive and more challenging to automate. We describe a scaled physical testbed (1.5m×3.0m) that uses a high resolution camera and soil sensors to monitor polyculture plants to facilitate tuning of plant growth, companion effects, and irrigation parameters for a first-order garden simulator. We use this simulator to develop a novel seed placement algorithm that increases coverage and diversity, and a learned pruning policy. In simulation experiments, the seed placement algorithm yields 60% more coverage and 10% more diversity than random seed placement and the learned pruning policy runs 1000X faster than a procedural lookahead policy to achieve high leaf coverage and plant diversity on adversarial gardens that include plant species with diverse growth rates. These models and policies provide the groundwork for a fully-automated system under development. Code, datasets and supplementary material can be found at https://github.com/BerkeleyAutomation/AlphaGarden/.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561431","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561431","","Resistance;Irrigation;Automation;Stochastic processes;Tools;Soil;Sensors","","8","","43","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
